Stadt,URL
Hamburg,https://www.wetter.com/deutschland/hamburg/DE0004130.html
Oslo,https://www.wetter.com/norwegen/oslo/NO0OS0002.html
Helsinki,https://www.wetter.com/finnland/helsinki/FI0ES0005.html
Stockholm,https://www.wetter.com/schweden/stockholm/SE0ST0012.html
Kopenhagen,https://www.wetter.com/daenemark/kopenhagen/DK0KH1299.html
Amsterdam,https://www.wetter.com/niederlande/amsterdam/NL0NH0013.html
Moskau,https://www.wetter.com/russland/moskau/RU0MC0002.html
Rom,https://www.wetter.com/italien/rom/IT0LA0153.html
Madrid,https://www.wetter.com/spanien/madrid/ES0MA0079.html
London,https://www.wetter.com/vereinigtes-koenigreich/london/GB0KI0101.html
Dublin,https://www.wetter.com/irland/dublin/IE0DN0001.html
Reykjavik,https://www.wetter.com/island/reykjavik/ISXY00001.html
Athen,https://www.wetter.com/griechenland/athen/GR0AT0001.html
Ankara,https://www.wetter.com/tuerkei/ankara/TR0AN0001.html
Kairo,https://www.wetter.com/aegypten/kairo/EG0QH0001.html
Dubai,https://www.wetter.com/vereinigte-arabische-emirate/dubai/AE0DU0002.html
Mumbai,https://www.wetter.com/indien/mumbai/IN0MH0006.html
Bengaluru,https://www.wetter.com/indien/bengaluru/IN0KA0001.html
Peking,https://www.wetter.com/china/beijing/CN0BJ0003.html
Shanghai,https://www.wetter.com/china/schanghai/CN0SH0002.html
Taipeh,https://www.wetter.com/taiwan/taipeh/TW0TP0002.html
Tokio,https://www.wetter.com/japan/tokio/JP0TY0011.html
Sapporo,https://www.wetter.com/japan/sapporo/JP0HO0016.html
Astana,https://www.wetter.com/kasachstan/astana/KZXY00001.html
Ulaanbaatar,https://www.wetter.com/mongolei/ulaanbaatar/MNXY00001.html
Kathmandu,https://www.wetter.com/nepal/kathmandu/NP0BA0002.html
Paris,https://www.wetter.com/frankreich/paris/FR0IF0356.html
Lissabon,https://www.wetter.com/portugal/lissabon/PT0LI0005.html
Warschau,https://www.wetter.com/polen/warschau/PL0MZ0005.html
Kiew,https://www.wetter.com/ukraine/kiew/UA0KC0001.html
Zagreb,https://www.wetter.com/kroatien/zagreb/HR0GZ0001.html
Bukarest,https://www.wetter.com/rumaenien/bukarest/RO0BU0001.html
Seoul,https://www.wetter.com/suedkorea/seoul/KR0KG0007.html
Brisbane,https://www.wetter.com/australien/brisbane/AU0QL0005.html
Sydney,https://www.wetter.com/australien/sydney/AU0NS0062.html
Melbourne,https://www.wetter.com/australien/melbourne/AU0VI0027.html
Perth,https://www.wetter.com/australien/perth/AU0WA0014.html
Hobart,https://www.wetter.com/australien/hobart/AU0TS0007.html
New York,https://www.wetter.com/vereinigte-staaten/new-york-city/US0NY0993.html
