City,Country,Scraping Link,Location,translated_original,translated_mymemory
Kabul,Afghanistan,,Kabul Afghanistan,Kabul Afghanistan,"Kabul, Afghanistan"
Herat,Afghanistan,,Herat Afghanistan,Herat Afghanistan,Herat Afghanistan
Mazar-i-Sharif,Afghanistan,,Mazar-i-Sharif Afghanistan,Mazar-i-Sharif Afghanistan,Mazar-i-Sharif Afghanistan
Kandahar,Afghanistan,,Kandahar Afghanistan,Kandahar Afghanistan,Kandahar Afghanistan
Jalalabad,Afghanistan,,Jalalabad Afghanistan,Jalalabad Afghanistan,Jalalabad Afghanistan
Lashkargah,Afghanistan,,Lashkargah Afghanistan,Lashkargah Afghanistan,Lashkargah Afghanistan
Kunduz,Afghanistan,,Kunduz Afghanistan,Kunduz Afghanistan,KUNDUS/ AFGHANISTAN
Taloqan,Afghanistan,,Taloqan Afghanistan,Taloqan Afghanistan,Taloqan Afghanistan
Puli Khumri,Afghanistan,,Puli Khumri Afghanistan,Puli Khumri Afghanistan,Puli Khumri Afghanistan
Sheberghan,Afghanistan,,Sheberghan Afghanistan,Sheberghan Afghanistan,Sheberghan Afghanistan
Zaranj,Afghanistan,,Zaranj Afghanistan,Zaranj Afghanistan,Zaranj Afghanistan
Maymana,Afghanistan,,Maymana Afghanistan,Maymana Afghanistan,Maymana Afghanistan
Ghazni,Afghanistan,,Ghazni Afghanistan,Ghazni Afghanistan,Ghazni Afghanistan
Khost,Afghanistan,,Khost Afghanistan,Khost Afghanistan,Khost Afghanistan
Charikar,Afghanistan,,Charikar Afghanistan,Charikar Afghanistan,Charikar Afghanistan
Fayzabad,Afghanistan,,Fayzabad Afghanistan,Fayzabad Afghanistan,Fayzabad Afghanistan
Tarinkot,Afghanistan,,Tarinkot Afghanistan,Tarinkot Afghanistan,Tarinkot Afghanistan
Gardez,Afghanistan,,Gardez Afghanistan,Gardez Afghanistan,Gardez Afghanistan
Algiers,Algeria,,Algiers Algeria,Algiers Algeria,"Algier , Algerien , 2016"
Oran,Algeria,,Oran Algeria,Oran Algeria,Oran Algerien
Constantine,Algeria,,Constantine Algeria,Constantine Algeria,Konstantin Algerien
Annaba,Algeria,,Annaba Algeria,Annaba Algeria,Annaba Algerien
Blida,Algeria,,Blida Algeria,Blida Algeria,Blida Algerien
Batna,Algeria,,Batna Algeria,Batna Algeria,Batna Algeria
Djelfa,Algeria,,Djelfa Algeria,Djelfa Algeria,Djelfa Algerien
Sétif,Algeria,,Sétif Algeria,Sétif Algeria,Sétif Algeria
Sidi bel Abbès,Algeria,,Sidi bel Abbès Algeria,Sidi bel Abbès Algeria,Sidi bel Abbès Algerien
Biskra,Algeria,,Biskra Algeria,Biskra Algeria,Biskra Algerien
Tébessa,Algeria,,Tébessa Algeria,Tébessa Algeria,Tébessa Algerien
Skikda,Algeria,,Skikda Algeria,Skikda Algeria,"1951, Skikda, Algerien"
Tiaret,Algeria,,Tiaret Algeria,Tiaret Algeria,Tiaret Algerien
Béjaïa,Algeria,,Béjaïa Algeria,Béjaïa Algeria,Béjaïa Algerien
Tlemcen,Algeria,,Tlemcen Algeria,Tlemcen Algeria,Tlemcen Algerien
Béchar,Algeria,,Béchar Algeria,Béchar Algeria,Béchar Algerien
Mostaganem,Algeria,,Mostaganem Algeria,Mostaganem Algeria,Mostaganem Algerien
Bordj Bou Arreridj,Algeria,,Bordj Bou Arreridj Algeria,Bordj Bou Arreridj Algeria,Bordj Bou Arreridj Algerien
Chlef,Algeria,,Chlef Algeria,Chlef Algeria,Chlef Algerien
Souk Ahras,Algeria,,Souk Ahras Algeria,Souk Ahras Algeria,Souk Ahras Algerien
El Eulma,Algeria,,El Eulma Algeria,El Eulma Algeria,El Eulma Algerien
Médéa,Algeria,,Médéa Algeria,Médéa Algeria,Médéa Algeria
Tizi Ouzou,Algeria,,Tizi Ouzou Algeria,Tizi Ouzou Algeria,Tizi Ouzou Algerien
Jijel,Algeria,,Jijel Algeria,Jijel Algeria,Jijel Algerien
Laghouat,Algeria,,Laghouat Algeria,Laghouat Algeria,Laghouat Algerien
El Oued,Algeria,,El Oued Algeria,El Oued Algeria,El Oued Algerien
Ouargla,Algeria,,Ouargla Algeria,Ouargla Algeria,Ouargla Algerien
M'Sila,Algeria,,M'Sila Algeria,M'Sila Algeria,M'Sila Algerien
Relizane,Algeria,,Relizane Algeria,Relizane Algeria,Relizane Algeria
Saïda,Algeria,,Saïda Algeria,Saïda Algeria,Saïda Algerien
Bou Saâda,Algeria,,Bou Saâda Algeria,Bou Saâda Algeria,Bou Saâda Algerien
Guelma,Algeria,,Guelma Algeria,Guelma Algeria,Guelma Algerien
Aïn Beïda,Algeria,,Aïn Beïda Algeria,Aïn Beïda Algeria,Aïn Beïda Algerien
Maghnia,Algeria,,Maghnia Algeria,Maghnia Algeria,Maghnia Algeria
Mascara,Algeria,,Mascara Algeria,Mascara Algeria,Mascara Algerien
Khenchela,Algeria,,Khenchela Algeria,Khenchela Algeria,Khenchela Algerien
Barika,Algeria,,Barika Algeria,Barika Algeria,Barika Algerien
Messaad,Algeria,,Messaad Algeria,Messaad Algeria,Messaad Algerien
Aflou,Algeria,,Aflou Algeria,Aflou Algeria,Aflou Algerien
Aïn Oussara,Algeria,,Aïn Oussara Algeria,Aïn Oussara Algeria,Aïn Oussara Algerien
Canillo,Andorra,,Canillo Andorra,Canillo Andorra,Canillo - Andorra.
Encamp,Andorra,,Encamp Andorra,Encamp Andorra,Encamp - Andorra.
Ordino,Andorra,,Ordino Andorra,Ordino Andorra,Ordino - Andorra.
La Massana,Andorra,,La Massana Andorra,La Massana Andorra,La Massana - Andorra.
Andorra la Vella,Andorra,,Andorra la Vella Andorra,Andorra la Vella Andorra,Andorra la Vella / Andorra
Sant Julià de Lòria,Andorra,,Sant Julià de Lòria Andorra,Sant Julià de Lòria Andorra,Sant Julià de Lòria Andorra
Escaldes-Engordany,Andorra,,Escaldes-Engordany Andorra,Escaldes-Engordany Andorra,Escaldes-Engordany Andorra
Yerevan,Armenia,,Yerevan Armenia,Yerevan Armenia,"Jerewan, Armenien"
Gyumri,Armenia,,Gyumri Armenia,Gyumri Armenia,Gyumri Armenien
Vanadzor,Armenia,,Vanadzor Armenia,Vanadzor Armenia,Vanadzor Armenien
Abovyan,Armenia,,Abovyan Armenia,Abovyan Armenia,Abovyan Armenien
Vagharshapat,Armenia,,Vagharshapat Armenia,Vagharshapat Armenia,Vagharshapat Armenien
Hrazdan,Armenia,,Hrazdan Armenia,Hrazdan Armenia,Hrazdan Armenien
Kapan,Armenia,,Kapan Armenia,Kapan Armenia,Kapan Armenien
Armavir,Armenia,,Armavir Armenia,Armavir Armenia,Armavir Armenia
Charentsavan,Armenia,,Charentsavan Armenia,Charentsavan Armenia,Charentsavan Armenien
Masis,Armenia,,Masis Armenia,Masis Armenia,Masis Armenien
Artashat,Armenia,,Artashat Armenia,Artashat Armenia,Artashat Armenien
Sevan,Armenia,,Sevan Armenia,Sevan Armenia,Sewan Armenien
Ijevan,Armenia,,Ijevan Armenia,Ijevan Armenia,Ijevan Armenien
Gavar,Armenia,,Gavar Armenia,Gavar Armenia,Gavar Armenien
Artik,Armenia,,Artik Armenia,Artik Armenia,Artik Armenia
Goris,Armenia,,Goris Armenia,Goris Armenia,Goris Armenien
Ararat,Armenia,,Ararat Armenia,Ararat Armenia,Ararat Armenien
Dilijan,Armenia,,Dilijan Armenia,Dilijan Armenia,Dilijan Armenien
Ashtarak,Armenia,,Ashtarak Armenia,Ashtarak Armenia,Ashtarak Armenien
Sisian,Armenia,,Sisian Armenia,Sisian Armenia,Sisian Armenia
Spitak,Armenia,,Spitak Armenia,Spitak Armenia,Spitak Armenien
Vardenis,Armenia,,Vardenis Armenia,Vardenis Armenia,Vardenis Armenien
