City,Country,Scraping Link
Kabul,Afghanistan,
Herat,Afghanistan,
Mazar-i-Sharif,Afghanistan,
Kandahar,Afghanistan,
Jalalabad,Afghanistan,
Lashkargah,Afghanistan,
Kunduz,Afghanistan,
Taloqan,Afghanistan,
Puli Khumri,Afghanistan,
Sheberghan,Afghanistan,
Zaranj,Afghanistan,
Maymana,Afghanistan,
Ghazni,Afghanistan,
Khost,Afghanistan,
Charikar,Afghanistan,
Fayzabad,Afghanistan,
Tarinkot,Afghanistan,
Gardez,Afghanistan,
Algiers,Algeria,
Oran,Algeria,
Constantine,Algeria,
Annaba,Algeria,
Blida,Algeria,
Batna,Algeria,
Djelfa,Algeria,
Sétif,Algeria,
Sidi bel Abbès,Algeria,
Biskra,Algeria,
Tébessa,Algeria,
Skikda,Algeria,
Tiaret,Algeria,
Béjaïa,Algeria,
Tlemcen,Algeria,
Béchar,Algeria,
Mostaganem,Algeria,
Bordj Bou Arreridj,Algeria,
Chlef,Algeria,
Souk Ahras,Algeria,
El Eulma,Algeria,
Médéa,Algeria,
Tizi Ouzou,Algeria,
Jijel,Algeria,
Laghouat,Algeria,
El Oued,Algeria,
Ouargla,Algeria,
M'Sila,Algeria,
Relizane,Algeria,
Saïda,Algeria,
Bou Saâda,Algeria,
Guelma,Algeria,
Aïn Beïda,Algeria,
Maghnia,Algeria,
Mascara,Algeria,
Khenchela,Algeria,
Barika,Algeria,
Messaad,Algeria,
Aflou,Algeria,
Aïn Oussara,Algeria,
Canillo,Andorra,
Encamp,Andorra,
Ordino,Andorra,
La Massana,Andorra,
Andorra la Vella,Andorra,
Sant Julià de Lòria,Andorra,
Escaldes-Engordany,Andorra,
Yerevan,Armenia,
Gyumri,Armenia,
Vanadzor,Armenia,
Abovyan,Armenia,
Vagharshapat,Armenia,
Hrazdan,Armenia,
Kapan,Armenia,
Armavir,Armenia,
Charentsavan,Armenia,
Masis,Armenia,
Artashat,Armenia,
Sevan,Armenia,
Ijevan,Armenia,
Gavar,Armenia,
Artik,Armenia,
Goris,Armenia,
Ararat,Armenia,
Dilijan,Armenia,
Ashtarak,Armenia,
Sisian,Armenia,
Spitak,Armenia,
Vardenis,Armenia,
Yeghvard,Armenia,
Alaverdi,Armenia,
Stepanavan,Armenia,
Martuni,Armenia,
Vedi,Armenia,
Byureghavan,Armenia,
Nor Hachn,Armenia,
Metsamor,Armenia,
Tashir,Armenia,
