City,URL,Latitude,Longitude,Timezone,Error
soda-springs,https://wetter.com/vereinigte-staaten/soda-springs/US5607916.html,42.6544,-111.6047,America/Boise,
idaho-city,https://wetter.com/vereinigte-staaten/idaho-city/US5596462.html,43.8285,-115.8346,America/Boise,
arco,https://wetter.com/vereinigte-staaten/arco/US5584200.html,43.6366,-113.3003,America/Boise,
rexburg,https://wetter.com/vereinigte-staaten/rexburg/US5605242.html,43.826,-111.7897,America/Boise,
hailey,https://wetter.com/vereinigte-staaten/hailey/US5594956.html,43.5196,-114.3153,America/Boise,
shoshone,https://wetter.com/vereinigte-staaten/shoshone/US5607205.html,42.936,-114.4059,America/Boise,
rigby,https://wetter.com/vereinigte-staaten/rigby/US5605321.html,43.6724,-111.915,America/Boise,
saint-anthony,https://wetter.com/vereinigte-staaten/saint-anthony/US5606187.html,43.9663,-111.6822,America/Boise,
salmon,https://wetter.com/vereinigte-staaten/salmon/US5606275.html,45.1758,-113.8959,America/Boise,
mountain-home,https://wetter.com/vereinigte-staaten/mountain-home/US5601615.html,43.133,-115.6912,America/Boise,
paris,https://wetter.com/vereinigte-staaten/paris/US5603240.html,42.2272,-111.401,America/Boise,
twin-falls,https://wetter.com/vereinigte-staaten/twin-falls/US5610810.html,42.563,-114.4609,America/Boise,
idaho-falls,https://wetter.com/vereinigte-staaten/idaho-falls/US5596475.html,43.4666,-112.0341,America/Boise,
dubois,https://wetter.com/vereinigte-staaten/dubois/US5591649.html,44.1763,-112.2308,America/Boise,
pocatello,https://wetter.com/vereinigte-staaten/pocatello/US5604045.html,42.8713,-112.4455,America/Boise,
american-falls,https://wetter.com/vereinigte-staaten/american-falls/US5583981.html,42.786,-112.8544,America/Boise,
preston,https://wetter.com/vereinigte-staaten/preston/US5604473.html,42.0963,-111.8766,America/Boise,
weiser,https://wetter.com/vereinigte-staaten/weiser/US5611730.html,44.251,-116.9693,America/Boise,
council,https://wetter.com/vereinigte-staaten/council/US5589857.html,44.7299,-116.4382,America/Boise,
driggs,https://wetter.com/vereinigte-staaten/driggs/US5591399.html,43.7233,-111.1113,America/Boise,
caldwell,https://wetter.com/vereinigte-staaten/caldwell/US5587698.html,43.6629,-116.6874,America/Boise,
challis,https://wetter.com/vereinigte-staaten/challis/US5588524.html,44.5046,-114.2317,America/Boise,
boise,https://wetter.com/vereinigte-staaten/boise/US5586437.html,43.6135,-116.2035,America/Boise,
rupert,https://wetter.com/vereinigte-staaten/rupert/US5606000.html,42.6191,-113.6772,America/Boise,
malad-city,https://wetter.com/vereinigte-staaten/malad-city/US5600035.html,42.1916,-112.2508,America/Boise,
jerome,https://wetter.com/vereinigte-staaten/jerome/US5597034.html,42.7241,-114.5187,America/Boise,
cascade,https://wetter.com/vereinigte-staaten/cascade/US5588160.html,44.5163,-116.0418,America/Boise,
emmett,https://wetter.com/vereinigte-staaten/emmett/US5592562.html,43.8735,-116.4993,America/Boise,
payette,https://wetter.com/vereinigte-staaten/payette/US5603393.html,44.0782,-116.9338,America/Boise,
burley,https://wetter.com/vereinigte-staaten/burley/US5587385.html,42.5357,-113.7928,America/Boise,
blackfoot,https://wetter.com/vereinigte-staaten/blackfoot/US5586093.html,43.1905,-112.345,America/Boise,
gooding,https://wetter.com/vereinigte-staaten/gooding/US5594307.html,42.9388,-114.7131,America/Boise,
vale,https://wetter.com/vereinigte-staaten/vale/US5758413.html,43.9821,-117.2382,America/Boise,
guadalupe,https://wetter.com/mexiko/guadalupe/MX4005405.html,31.3895,-106.1057,America/Ciudad_Juarez,
praxedis-g-guerrero,https://wetter.com/mexiko/praxedis-g-guerrero/MX3991869.html,31.3706,-106.0062,America/Ciudad_Juarez,
ciudad-juarez,https://wetter.com/mexiko/ciudad-juarez/MX4013708.html,31.7202,-106.4608,America/Ciudad_Juarez,
ascension,https://wetter.com/mexiko/ascension/MX4003582.html,31.0926,-107.9969,America/Ciudad_Juarez,
janos,https://wetter.com/mexiko/janos/MX4004116.html,30.8891,-108.1943,America/Ciudad_Juarez,
dawson,https://wetter.com/kanada/dawson/CA5935790.html,64.0432,-139.4167,America/Dawson,
beaver-creek,https://wetter.com/kanada/beaver-creek/CA6354909.html,62.3827,-140.8793,America/Dawson,
fort-st-john,https://wetter.com/kanada/fort-st-john/CA5955960.html,56.2499,-120.8529,America/Dawson_Creek,
green-river,https://wetter.com/vereinigte-staaten/green-river/US5826559.html,41.5286,-109.4663,America/Denver,
lovell,https://wetter.com/vereinigte-staaten/lovell/US5831176.html,44.8375,-108.3896,America/Denver,
cody,https://wetter.com/vereinigte-staaten/cody/US5821593.html,44.5263,-109.0565,America/Denver,
glenrock,https://wetter.com/vereinigte-staaten/glenrock/US5826088.html,42.8614,-105.8722,America/Denver,
south-park,https://wetter.com/vereinigte-staaten/south-park/US5839264.html,43.4222,-110.7933,America/Denver,
wheatland,https://wetter.com/vereinigte-staaten/wheatland/US5842753.html,42.0541,-104.953,America/Denver,
saratoga,https://wetter.com/vereinigte-staaten/saratoga/US5837593.html,41.455,-106.8064,America/Denver,
powell,https://wetter.com/vereinigte-staaten/powell/US5835606.html,44.7538,-108.7574,America/Denver,
sundance,https://wetter.com/vereinigte-staaten/sundance/US5840284.html,44.4064,-104.3758,America/Denver,
pinedale,https://wetter.com/vereinigte-staaten/pinedale/US5835178.html,42.8666,-109.861,America/Denver,
wright,https://wetter.com/vereinigte-staaten/wright/US5843515.html,43.7512,-105.492,America/Denver,
torrington,https://wetter.com/vereinigte-staaten/torrington/US5841207.html,42.0625,-104.1844,America/Denver,
buffalo,https://wetter.com/vereinigte-staaten/buffalo/US5819881.html,44.3483,-106.6989,America/Denver,
jackson,https://wetter.com/vereinigte-staaten/jackson/US5828648.html,43.4799,-110.7624,America/Denver,
newcastle,https://wetter.com/vereinigte-staaten/newcastle/US5833349.html,43.8547,-104.2049,America/Denver,
riverton,https://wetter.com/vereinigte-staaten/riverton/US5836665.html,43.025,-108.3801,America/Denver,
gillette,https://wetter.com/vereinigte-staaten/gillette/US5826027.html,44.2911,-105.5022,America/Denver,
douglas,https://wetter.com/vereinigte-staaten/douglas/US5823516.html,42.7597,-105.3822,America/Denver,
north-rock-springs,https://wetter.com/vereinigte-staaten/north-rock-springs/US5833892.html,41.6436,-109.2657,America/Denver,
evanston,https://wetter.com/vereinigte-staaten/evanston/US5824805.html,41.2683,-110.9632,America/Denver,
ranchettes,https://wetter.com/vereinigte-staaten/ranchettes/US5835956.html,41.2186,-104.7903,America/Denver,
ethete,https://wetter.com/vereinigte-staaten/ethete/US5824773.html,43.025,-108.7726,America/Denver,
kemmerer,https://wetter.com/vereinigte-staaten/kemmerer/US5829425.html,41.7925,-110.5377,America/Denver,
lusk,https://wetter.com/vereinigte-staaten/lusk/US5831333.html,42.7625,-104.4522,America/Denver,
laramie,https://wetter.com/vereinigte-staaten/laramie/US5830062.html,41.3114,-105.5911,America/Denver,
lander,https://wetter.com/vereinigte-staaten/lander/US5830007.html,42.833,-108.7307,America/Denver,
south-greeley,https://wetter.com/vereinigte-staaten/south-greeley/US5839233.html,41.0969,-104.8064,America/Denver,
sheridan,https://wetter.com/vereinigte-staaten/sheridan/US5838198.html,44.7972,-106.9562,America/Denver,
moose-wilson-road,https://wetter.com/vereinigte-staaten/moose-wilson-road/US5832759.html,43.5252,-110.8447,America/Denver,
rawlins,https://wetter.com/vereinigte-staaten/rawlins/US5836068.html,41.7911,-107.2387,America/Denver,
rock-springs,https://wetter.com/vereinigte-staaten/rock-springs/US5836898.html,41.5875,-109.2029,America/Denver,
worland,https://wetter.com/vereinigte-staaten/worland/US5843495.html,44.0169,-107.9554,America/Denver,
