City,URL,Latitude,Longitude,Timezone,Error,Weather Report?
makasa,https://wetter.com/malawi/makasa/MW0927489.html,-13.65,33.45,Africa/Blantyre,,True
khongoni,https://wetter.com/malawi/khongoni/MW0928170.html,-13.808,33.2711,Africa/Blantyre,,True
dedza,https://wetter.com/malawi/dedza/MW0930025.html,-14.3779,34.3332,Africa/Blantyre,,True
chipoka,https://wetter.com/malawi/chipoka/MW0930629.html,-13.9933,34.5157,Africa/Blantyre,,True
bisa,https://wetter.com/malawi/bisa/MW0931769.html,-13.4667,33.95,Africa/Blantyre,,True
kawole,https://wetter.com/malawi/kawole/MW0928306.html,-13.9478,33.1724,Africa/Blantyre,,True
njambe,https://wetter.com/tansania/njambe/TZ0877496.html,-11.0,34.6,Africa/Blantyre,,True
manda,https://wetter.com/tansania/manda/TZ0878087.html,-10.4667,34.5833,Africa/Blantyre,,True
mbamba-bay,https://wetter.com/tansania/mbamba-bay/TZ0878023.html,-11.2833,34.7667,Africa/Blantyre,,True
tafi,https://wetter.com/tansania/tafi/TZ0877392.html,-10.95,34.65,Africa/Blantyre,,True
sphinxhafen,https://wetter.com/tansania/sphinxhafen/TZ0878242.html,-11.0833,34.6333,Africa/Blantyre,,True
kamuninga,https://wetter.com/malawi/kamuninga/MW0929015.html,-11.6931,34.2803,Africa/Blantyre,,True
kumela,https://wetter.com/malawi/kumela/MW0928136.html,-13.6167,34.0333,Africa/Blantyre,,True
jasi,https://wetter.com/malawi/jasi/MW0929635.html,-13.2667,33.8167,Africa/Blantyre,,True
kwis,https://wetter.com/malawi/kwis/MW0928072.html,-13.7091,34.0781,Africa/Blantyre,,True
phaso,https://wetter.com/malawi/phaso/MW0924194.html,-11.7333,34.0833,Africa/Blantyre,,True
chico,https://wetter.com/malawi/chico/MW0931255.html,-13.4667,34.0167,Africa/Blantyre,,True
chesenda,https://wetter.com/malawi/chesenda/MW0931306.html,-15.35,35.4667,Africa/Blantyre,,True
liwonde,https://wetter.com/malawi/liwonde/MW0927834.html,-15.0667,35.2254,Africa/Blantyre,,True
monyo,https://wetter.com/malawi/monyo/MW0926305.html,-17.0608,35.2957,Africa/Blantyre,,True
machinga,https://wetter.com/malawi/machinga/MW0927643.html,-15.1685,35.3,Africa/Blantyre,,True
matola,https://wetter.com/malawi/matola/MW0927041.html,-14.9293,34.9216,Africa/Blantyre,,True
malupi,https://wetter.com/malawi/malupi/MW0927297.html,-14.8833,35.6167,Africa/Blantyre,,True
