UTC_Offset,Cities,Filename,Included_Timezones
UTC+1.0,27497,UTC_plus_1_0.csv,"Africa/Algiers, Africa/Bangui, Africa/Brazzaville, Africa/Casablanca, Africa/Ceuta, Africa/Douala, Africa/El_Aaiun, Africa/Kinshasa, Africa/Lagos, Africa/Libreville, Africa/Luanda, Africa/Malabo, Africa/Ndjamena, Africa/Niamey, Africa/Porto-Novo, Africa/Tunis, Europe/Amsterdam, Europe/Andorra, Europe/Belgrade, Europe/Berlin, Europe/Bratislava, Europe/Brussels, Europe/Budapest, Europe/Copenhagen, Europe/Ljubljana, Europe/Luxembourg, Europe/Madrid, Europe/Malta, Europe/Monaco, Europe/Oslo, Europe/Paris, Europe/Podgorica, Europe/Prague, Europe/Rome, Europe/San_Marino, Europe/Sarajevo, Europe/Skopje, Europe/Stockholm, Europe/Tirane, Europe/Vaduz, Europe/Vienna, Europe/Warsaw, Europe/Zagreb, Europe/Zurich"
UTC+2.0,15526,UTC_plus_2_0.csv,"Africa/Blantyre, Africa/Bujumbura, Africa/Cairo, Africa/Gaborone, Africa/Harare, Africa/Johannesburg, Africa/Juba, Africa/Khartoum, Africa/Kigali, Africa/Lubumbashi, Africa/Lusaka, Africa/Maputo, Africa/Maseru, Africa/Mbabane, Africa/Tripoli, Africa/Windhoek, Asia/Beirut, Asia/Famagusta, Asia/Jerusalem, Asia/Nicosia, Europe/Athens, Europe/Bucharest, Europe/Chisinau, Europe/Helsinki, Europe/Kaliningrad, Europe/Kyiv, Europe/Riga, Europe/Sofia, Europe/Tallinn, Europe/Vilnius"
UTC+3.0,12982,UTC_plus_3_0.csv,"Africa/Addis_Ababa, Africa/Asmara, Africa/Dar_es_Salaam, Africa/Djibouti, Africa/Kampala, Africa/Mogadishu, Africa/Nairobi, Asia/Aden, Asia/Amman, Asia/Baghdad, Asia/Bahrain, Asia/Damascus, Asia/Kuwait, Asia/Qatar, Asia/Riyadh, Europe/Istanbul, Europe/Kirov, Europe/Minsk, Europe/Moscow, Europe/Simferopol, Europe/Volgograd, Indian/Antananarivo, Indian/Comoro"
UTC+7.0,8300,UTC_plus_7_0.csv,"Asia/Bangkok, Asia/Barnaul, Asia/Ho_Chi_Minh, Asia/Hovd, Asia/Jakarta, Asia/Krasnoyarsk, Asia/Novokuznetsk, Asia/Novosibirsk, Asia/Phnom_Penh, Asia/Pontianak, Asia/Tomsk, Asia/Vientiane"
UTC-5.0,6490,UTC_minus_5_0.csv,"America/Bogota, America/Cancun, America/Detroit, America/Eirunepe, America/Guayaquil, America/Havana, America/Indiana/Indianapolis, America/Indiana/Vincennes, America/Iqaluit, America/Jamaica, America/Kentucky/Louisville, America/Lima, America/Nassau, America/New_York, America/Panama, America/Port-au-Prince, America/Rio_Branco, America/Toronto, Pacific/Easter"
UTC+0.0,5579,UTC_plus_0_0.csv,"Africa/Abidjan, Africa/Accra, Africa/Bamako, Africa/Banjul, Africa/Bissau, Africa/Conakry, Africa/Dakar, Africa/Freetown, Africa/Lome, Africa/Monrovia, Africa/Nouakchott, Africa/Ouagadougou, Africa/Sao_Tome, Atlantic/Canary, Atlantic/Madeira, Atlantic/Reykjavik, Europe/Dublin, Europe/Lisbon, Europe/London"
UTC-6.0,5014,UTC_minus_6_0.csv,"America/Bahia_Banderas, America/Belize, America/Chicago, America/Chihuahua, America/Costa_Rica, America/El_Salvador, America/Guatemala, America/Managua, America/Matamoros, America/Menominee, America/Merida, America/Mexico_City, America/Monterrey, America/North_Dakota/Center, America/North_Dakota/New_Salem, America/Regina, America/Swift_Current, America/Tegucigalpa, America/Winnipeg, Pacific/Galapagos"
UTC-4.0,4548,UTC_minus_4_0.csv,"America/Antigua, America/Barbados, America/Boa_Vista, America/Campo_Grande, America/Caracas, America/Cuiaba, America/Dominica, America/Glace_Bay, America/Goose_Bay, America/Grenada, America/Guyana, America/Halifax, America/La_Paz, America/Manaus, America/Moncton, America/Port_of_Spain, America/Porto_Velho, America/Santo_Domingo, America/St_Kitts, America/St_Lucia, America/St_Vincent"
UTC-3.0,3957,UTC_minus_3_0.csv,"America/Araguaina, America/Argentina/Buenos_Aires, America/Argentina/Catamarca, America/Argentina/Cordoba, America/Argentina/Jujuy, America/Argentina/La_Rioja, America/Argentina/Mendoza, America/Argentina/Rio_Gallegos, America/Argentina/Salta, America/Argentina/San_Juan, America/Argentina/San_Luis, America/Argentina/Tucuman, America/Argentina/Ushuaia, America/Asuncion, America/Bahia, America/Belem, America/Fortaleza, America/Maceio, America/Montevideo, America/Paramaribo, America/Punta_Arenas, America/Recife, America/Santarem, America/Santiago, America/Sao_Paulo"
UTC+8.0,3861,UTC_plus_8_0.csv,"Asia/Brunei, Asia/Irkutsk, Asia/Kuala_Lumpur, Asia/Kuching, Asia/Makassar, Asia/Manila, Asia/Shanghai, Asia/Taipei, Asia/Ulaanbaatar, Australia/Perth"
