City,URL,Latitude,Longitude,Timezone,Error,Weather Report?
chulkhek,https://wetter.com/russland/chulkhek/RU4031749.html,65.5333,-171.0,Asia/Anadyr,,False
petushkova,https://wetter.com/russland/petushkova/RU2122092.html,65.8,173.3333,Asia/Anadyr,,False
inymney,https://wetter.com/russland/inymney/RU2125234.html,66.4833,173.7333,Asia/Anadyr,,False
prowidenija,https://wetter.com/russland/prowidenija/RU4031574.html,64.4229,-173.2264,Asia/Anadyr,,False
nutepel-men,https://wetter.com/russland/nutepel-men/RU4031590.html,67.4257,-174.9249,Asia/Anadyr,,False
ust-mayn,https://wetter.com/russland/ust-mayn/RU2120050.html,65.1,172.3,Asia/Anadyr,,False
orlovskaya,https://wetter.com/russland/orlovskaya/RU2122418.html,64.15,169.3333,Asia/Anadyr,,False
koynergirgin,https://wetter.com/russland/koynergirgin/RU2119263.html,65.4167,179.5167,Asia/Anadyr,,False
pewek,https://wetter.com/russland/pewek/RU2122090.html,69.7029,170.2999,Asia/Anadyr,,False
antokhina,https://wetter.com/russland/antokhina/RU2127134.html,68.2333,160.8333,Asia/Anadyr,,False
leningradskiy,https://wetter.com/russland/leningradskiy/RU2123814.html,69.3601,178.401,Asia/Anadyr,,False
vilka,https://wetter.com/russland/vilka/RU2119789.html,65.2833,173.7333,Asia/Anadyr,,False
uelen,https://wetter.com/russland/uelen/RU4031533.html,66.1597,-169.8098,Asia/Anadyr,,False
yuzhnyy,https://wetter.com/russland/yuzhnyy/RU2119438.html,69.43,171.9453,Asia/Anadyr,,False
pereval-naya,https://wetter.com/russland/pereval-naya/RU2122167.html,66.9667,179.5667,Asia/Anadyr,,False
novyy-yeropol,https://wetter.com/russland/novyy-yeropol/RU2122720.html,64.842,168.7611,Asia/Anadyr,,False
vstrechnyy,https://wetter.com/russland/vstrechnyy/RU2119683.html,67.95,165.6,Asia/Anadyr,,False
vas-kino,https://wetter.com/russland/vas-kino/RU2119909.html,64.7667,170.0333,Asia/Anadyr,,False
kuyveyem,https://wetter.com/russland/kuyveyem/RU2123939.html,64.9167,175.4167,Asia/Anadyr,,False
penkigney,https://wetter.com/russland/penkigney/RU2122191.html,64.8667,172.9333,Asia/Anadyr,,False
soldatovo,https://wetter.com/russland/soldatovo/RU2121092.html,64.75,169.8333,Asia/Anadyr,,False
khatyrka,https://wetter.com/russland/khatyrka/RU2124718.html,62.0622,175.288,Asia/Anadyr,,False
bilibino,https://wetter.com/russland/bilibino/RU2126682.html,68.0546,166.4372,Asia/Anadyr,,False
akkani,https://wetter.com/russland/akkani/RU2127311.html,65.4929,-171.1685,Asia/Anadyr,,False
anadyr,https://wetter.com/russland/anadyr/RU2127202.html,64.7342,177.5103,Asia/Anadyr,,False
beringovskiy,https://wetter.com/russland/beringovskiy/RU2126710.html,63.061,179.3505,Asia/Anadyr,,False
kytrytkyn,https://wetter.com/russland/kytrytkyn/RU2123899.html,65.5833,170.9833,Asia/Anadyr,,False
baimka,https://wetter.com/russland/baimka/RU2126894.html,66.4833,164.5833,Asia/Anadyr,,False
aliskerovo,https://wetter.com/russland/aliskerovo/RU2127263.html,67.776,167.5241,Asia/Anadyr,,False
ilirney,https://wetter.com/russland/ilirney/RU2125322.html,67.2564,167.9606,Asia/Anadyr,,False
egwekinot,https://wetter.com/russland/egwekinot/RU4031742.html,66.3217,-179.122,Asia/Anadyr,,False
baranikha,https://wetter.com/russland/baranikha/RU2126838.html,68.5006,168.2654,Asia/Anadyr,,False
keyekan,https://wetter.com/russland/keyekan/RU4031673.html,65.7335,-170.5298,Asia/Anadyr,,False
